ISIN,Name,Quantity,Price_Cours,Date,Value_At_Date (EUR),Comment,Class,Strategy,Unnamed: 9,Unnamed: 10,Legend : ,Unnamed: 12,Unnamed: 13,Unnamed: 14,Short,Long,YearMonth
DE000MG5MTK,NVDA 120p 171225,1142.0,0.11,2025-08-31,125.62,AI seems bubbly - the only cash gen corp in the bubble - concentration risk in hypervisors,SC - DN,Momentum,,,,,,,,,2025-08
DE000MG6ERS,NVDA 220C 190126,400.0,0.21,2025-08-31,84,Other leg of a wide straddle,SC - DN,Momentum,,,,,,,,,2025-08
DE000GS91YS,CAC40 8000C 0925 ,10000.0,0.085,2025-08-31,850.0000000000001,To be sold soon - otherwise can expire worthless,DN - Gamma long,Heavy spike,,,Watchlist,,,,,,2025-08
DE000SY761Y8,CAC40 7400P 0925 ,25000.0,0.038,2025-08-31,950,"Heavily underpriced volatility - despite platinium and 6E metals being up 30% YTD, effect on operating margin, FCF and earnings can jump - operates in tax sensitive jurisdiction -  risk from employees (wages / infla / fx risk, SA & Zimbabwe) 6E metals and gold actor (350koz/annum) - underpriced equity also in recent bump to 7",DN - Gamma long,Heavy spike,,,Ticker,Logic,Direction,Asset-Class,,,2025-08
DE000MJ3WUT0,SBSW US 8C 190925,967.0,0.28,2025-08-31,270.76000000000005,"one of few plat miners, underpriced, and vol underpriced (AMM) vs. Impala (slightly) despite diversification of mining, lesser riots, and only JV exposure to zimbabwe",SC - NL,Mean Reversing,,,RGTI,Quantum => Shor alg,Short,Equity,,,2025-08
Cash EUR,Cash EUR,4676.72,1.0,2025-08-31,4676.72,"Higher cash pos benefitted from options on gold sold back, to be correctly distributed",SC - NL,,,,OPEN,Realestate vs Blackstone,Short,Equity,,,2025-08
DE000MG1VFU8,HL US Leverage x4,380.0,6.36,2025-09-26,2416.8,"Up 140% - profitted from previously mentionned elements on call option, converted call gains into equityx4 - awaiting FOP transfer",SC - NL,Momentum,,,QBTS,Quantum => Shor alg,Short,Equity,,,2025-09
DE000MM2L5L5,B2Gold Leverage X10,17.0,47.56,2025-09-26,808.52,"up 100% High leverage - profitting from a quick fall - post ex-dividend, on price which will rebounce on production / earnings shock for Q3. (part of inventory not counted on Q2 sales- 20koz) - spot price sales, low AISC still post earnings - still same fundamentals of company + hedge funds increasing position - awaiting FOP transfer",SC - NL,Momentum,,,QUBT,Quantum => Shor alg,Short,Equity,,,2025-09
DE000MJ3WUT0,SBSW US 8C 190925,967.0,1.31,2025-09-26,1266.77,"Expired as predicted in the money since platinum price was going to sustain at 1.3 - SBSW still heavily bullish, to be rolled over for 0126 - awaiting FOP transfer",SC - NL,Mean Reversing,,,IONQ,Quantum => Shor alg,Short,Equity,,,2025-09
DE000MJ2HAZ2,Baidu 105C 190925,2222.0,2.58,2025-09-26,5732.76,"Expired as predicted in the money since company was heavily underpriced compared to fundamentals. Slightly overvalued rn, and consumer of chips not major producer of AI, to be replaced by Huawei or Huawei-equivalent - - awaiting FOP transfer",PT - DN,Mean Reversing,,,MSTR,Bitcoin hypersensitivity + vol arbitrages,Short,Equity,,,2025-09
DE000MK641A4,Xpeng 27C 190126,3300.0,0.061,2025-09-26,201.29999999999998,"Still bullish EV - Given Tariffs dodging through thailand and soon austria, given margins of xpeng remaining large despite price war, a x2 valuation is plausible (awaiting for sales numbers, expecting margin explosion given rise in sales abroad and controlled costs) - - awaiting FOP transfer",PT - DN,Mean Reversing,,,OKLO,Way above fundamentals,Short,Equity,,,2025-09
DE000MG0YVR7,PDD 150C 171225,2413.0,0.355,2025-09-26,856.615,"Underpriced vol - despite consumer spending lowering its still in growth, market pen in EU, price increase instead of absorbtion of tariffs in US.Up 100% - at break even.
Could dethrone amazon, was already at 140+ with worse fundamentals. De-escalation w/ china can increase price - Bullish but delta neutral because in case of agression with china stock can go way lower
good PE and to decrease post nov 20 earnings - - awaiting FOP transfer",NL,Mean Reversing,,,TSLA,Way above fundamentals,Short,Equity,,,2025-09
,USD/CHF 0.79P 171225,220.0,0.89,2025-09-26,195.8,"Though not neutral, it is to hedge all my FX risk on USD returns (most of the options and equity / levraged warrants have payoff in USD + FX swap) - - awaiting FOP transfer",NL,Momentum,,,PLTR,Way above fundamentals,Short,Equity,,,2025-09
DE000MK1G1U7,PLTR US 90p 171215,1000.0,0.15,2025-09-26,150,Hedging US market crisis potential - which can touch pltr more than others due to 150+ P/E ratio - - awaiting FOP transfer,PT - DN,Momentum,,,SRPT,Gene therapy is actually decent - few deaths here and there,Long,Equity,,,2025-09
DE000GV9M723,TSLA 280P 1125,2500.0,0.1,2025-09-26,250,"September ""bearish seasonality"" hedge - Time decay is against TSLA, and with chinese EV makers. Q3 earnings will be key to determine sectorial direction for 2 future years. Europe statistics seem favorable for Chinese EV makers, TSLA only surpasses in couple of country (only norway stable) - to see august sales - - awaiting FOP transfer",PT - DN,Momentum,,,HCC,"Met Coal reaching support, market on backwardation",Long,Equity,,,2025-09
DE000MG5MTK,NVDA 120p 171225,1142.0,0.09,2025-09-26,102.78,Straddle not yet liquidated ( - awaiting FOP transfer),SC - DN,Momentum,,,AMD,Underpriced vs NVDA - tailwind inc,Long,Equity,,,2025-09
DE000MG6ERS,NVDA 220C 190126,400.0,0.236,2025-09-26,94.39999999999999,Straddle not yet liquidated ( - awaiting FOP transfer),SC - DN,Momentum,,,Intel,Heavy long on intel … but govt got involved,Long,Equity,,,2025-09
DE000MK367M1,NOVOB 490C 171225,3500.0,0.1,2025-09-26,350,"Undervalued, despite operating margins being decent, and plans to reduce costs - shares buybacks stopped, they were done when company was overvalued. A lucky news would spark upside, one of the biggest losers of 2025 despite healthy org - no point in making straddle because of fundamentals creating support for price - - awaiting FOP transfer",SC - DN,Mean Reversing + momentum,,,ORCL,AI Circular economy + surveillance state sentiment analysis,Short,Equity,,,2025-09
DE000MJ8VJV0,NOVOB 520C 171225,2000.0,0.09,2025-09-26,180,"Undervalued, despite operating margins being decent, and plans to reduce costs - shares buybacks stopped, they were done when company was overvalued. A lucky news would spark upside, one of the biggest losers of 2025 despite healthy org - no point in making straddle because of fundamentals creating support for price - - awaiting FOP transfer",SC - DN,Mean Reversing + momentum,,,META,Surveillance state sentiment analysis,Short,Equity,,,2025-09
-,Total position and cash 29/09,14041.63,1.0,2025-09-29,14041.63,,,,,,ALB,Cloud activity in China if it follows hypervisor trajectory in US,Long,Equity,,,2025-09
